Strike,CE_LTP,CE OI,CE Volume,CE Price Change,CE Price % Change,PE_LTP,PE OI,PE Volume,PE Price Change,PE Price % Change,CE IV,PE IV,CE Delta,CE Gamma,CE Theta,CE Decay,CE Vega,PE Delta,PE Gamma,PE Theta,PE Decay,PE Vega,Expiry,Spot,OI PCR,PE/CE Vol Ratio,CE OI Open,PE OI Open,CE OI Change,PE OI Change,CE OI Change %,PE OI Change %,OI PCR Change,Distance,Status,CE_Intrinsic,PE_Intrinsic,CE_TimeValue,PE_TimeValue
24450,17.7,1580020,30744545,-5.95,-25.16,444.45,28795,200005,-74.5,-14.36,13.71,13.71,0.1926,0.000657,-9.81,-6.22,8.3132,-0.8074,0.000657,-9.81,-3.97,8.3132,07Jul2026,24082.0,0.02,0.01,2005835,22750,-425815,6045,-21.23,26.57,-0.01,368.0,OTM CE / ITM PE,0.0,368.0,17.7,76.45
24500,13.75,6945770,71152835,-5.3,-27.82,488.35,851370,1491165,-72.35,-12.9,14.1,14.1,0.169,0.000588,-9.3,-5.86,7.6585,-0.831,0.000588,-9.3,-3.61,7.6585,07Jul2026,24082.0,0.12,0.02,7307625,869180,-361855,-17810,-4.95,-2.05,0.05,418.0,OTM CE / ITM PE,0.0,418.0,13.75,70.35
24550,10.0,1554085,22350315,-5.15,-33.99,538.1,18135,46670,-71.95,-11.79,14.71,14.71,0.1521,0.000526,-9.05,-5.66,7.1486,-0.8479,0.000526,-9.05,-3.41,7.1486,07Jul2026,24082.0,0.01,0.0,1361425,17940,192660,195,14.15,1.09,0.0,468.0,OTM CE / ITM PE,0.0,468.0,10.0,70.1
24600,7.6,4833790,32580860,-4.3,-36.13,582.65,132015,158340,-58.15,-9.07,15.07,15.07,0.1335,0.000471,-8.49,-5.28,6.5449,-0.8665,0.000471,-8.49,-3.02,6.5449,07Jul2026,24082.0,0.03,0.0,4551885,131105,281905,910,6.19,0.69,0.0,518.0,OTM CE / ITM PE,0.0,518.0,7.6,64.65
24650,6.05,1401920,18224505,-3.65,-37.63,632.45,2535,10530,-82.55,-11.55,15.76,15.76,0.1224,0.000424,-8.36,-5.16,6.1641,-0.8776,0.000424,-8.36,-2.9,6.1641,07Jul2026,24082.0,0.0,0.0,1249235,2730,152685,-195,12.22,-7.14,-0.0,568.0,OTM CE / ITM PE,0.0,568.0,6.05,64.45
24700,4.75,4679610,27994915,-3.25,-40.63,681.8,29575,34970,-57.75,-7.81,16.39,16.39,0.1121,0.000383,-8.17,-5.01,5.7916,-0.8879,0.000383,-8.17,-2.74,5.7916,07Jul2026,24082.0,0.01,0.0,4708340,29575,-28730,0,-0.61,0.0,-0.0,618.0,OTM CE / ITM PE,0.0,618.0,4.75,63.8
24750,4.3,2325635,16312400,-2.3,-34.85,728.1,1170,1950,-84.0,-10.34,16.95,16.95,0.1022,0.000346,-7.9,-4.82,5.4166,-0.8978,0.000346,-7.9,-2.55,5.4166,07Jul2026,24082.0,0.0,0.0,1273025,1235,1052610,-65,82.69,-5.26,-0.0,668.0,OTM CE / ITM PE,0.0,668.0,4.3,60.1
24800,3.5,3959800,30921865,-1.95,-35.78,781.25,36725,30615,-61.85,-7.34,17.82,17.82,0.0976,0.000318,-8.04,-4.87,5.2382,-0.9024,0.000318,-8.04,-2.59,5.2382,07Jul2026,24082.0,0.01,0.0,3792230,37505,167570,-780,4.42,-2.08,-0.0,718.0,OTM CE / ITM PE,0.0,718.0,3.5,63.25
24850,3.2,1424085,15122705,-1.65,-34.02,820.15,2470,4810,-61.95,-7.02,17.82,17.82,0.0831,0.000282,-7.13,-4.3,4.6461,-0.9169,0.000282,-7.13,-2.02,4.6461,07Jul2026,24082.0,0.0,0.0,1056315,1625,367770,845,34.82,52.0,0.0,768.0,OTM CE / ITM PE,0.0,768.0,3.2,52.15
24900,2.7,2470130,27446380,-1.65,-37.93,879.3,12350,13260,-50.45,-5.43,19.14,19.14,0.0852,0.000268,-7.8,-4.68,4.7344,-0.9148,0.000268,-7.8,-2.39,4.7344,07Jul2026,24082.0,0.0,0.0,3526445,12350,-1056315,0,-29.95,0.0,-0.0,818.0,OTM CE / ITM PE,0.0,818.0,2.7,61.3
24950,2.35,524615,6025110,-1.5,-38.96,923.75,780,390,-42.5,-4.4,19.44,19.44,0.0761,0.000242,-7.27,-4.34,4.3482,-0.9239,0.000242,-7.27,-2.05,4.3482,07Jul2026,24082.0,0.0,0.0,620230,0,-95615,780,-15.42,0.0,-0.01,868.0,OTM CE / ITM PE,0.0,868.0,2.35,55.75
25000,2.2,7407530,31745675,-1.45,-39.73,977.7,428480,104065,-57.8,-5.58,20.47,20.47,0.0755,0.000229,-7.62,-4.53,4.324,-0.9245,0.000229,-7.62,-2.23,4.324,07Jul2026,24082.0,0.06,0.0,7083895,419120,323635,9360,4.57,2.23,0.03,918.0,OTM CE / ITM PE,0.0,918.0,2.2,59.7
25050,2.0,642785,5647720,-1.15,-36.51,1024.9,1560,3770,-58.1,-5.36,20.97,20.97,0.0699,0.000211,-7.35,-4.35,4.0747,-0.9301,0.000211,-7.35,-2.05,4.0747,07Jul2026,24082.0,0.0,0.0,578305,1430,64480,130,11.15,9.09,0.0,968.0,OTM CE / ITM PE,0.0,968.0,2.0,56.9
25100,1.75,2324725,12290265,-1.15,-39.66,1055.8,5850,130,-83.6,-7.34,20.03,20.03,0.052,0.000175,-5.57,-3.28,3.2318,-0.948,0.000175,-5.57,-0.98,3.2318,07Jul2026,24082.0,0.0,0.0,2494310,0,-169585,5850,-6.8,0.0,-0.03,1018.0,OTM CE / ITM PE,0.0,1018.0,1.75,37.8
25150,1.7,365105,2533830,-0.95,-35.85,1155.0,0,0,0.0,0.0,24.54,24.54,0.0829,0.000205,-9.8,-5.75,4.6391,-0.9171,0.000205,-9.8,-3.44,4.6391,07Jul2026,24082.0,0.0,0.0,346710,0,18395,0,5.31,0.0,0.0,1068.0,OTM CE / ITM PE,0.0,1068.0,1.7,87.0
25200,1.5,2420535,11486865,-1.0,-40.0,1164.6,9100,1690,-66.15,-5.37,22.16,22.16,0.0538,0.000162,-6.33,-3.7,3.32,-0.9462,0.000162,-6.33,-1.38,3.32,07Jul2026,24082.0,0.0,0.0,2222545,9165,197990,-65,8.91,-0.71,-0.0,1118.0,OTM CE / ITM PE,0.0,1118.0,1.5,46.6
25300,1.35,1163890,6552715,-0.8,-37.21,1250.0,3120,65,-100.0,-7.41,22.1,22.1,0.0396,0.000127,-4.94,-2.86,2.5968,-0.9604,0.000127,-4.94,-0.54,2.5968,07Jul2026,24082.0,0.0,0.0,1377740,0,-213850,3120,-15.52,0.0,-0.01,1218.0,OTM CE / ITM PE,0.0,1218.0,1.35,32.0
25350,1.25,124605,1637220,-0.8,-39.02,1375.95,0,0,0.0,0.0,28.83,28.83,0.0818,0.000173,-11.4,-6.61,4.5942,-0.9182,0.000173,-11.4,-4.29,4.5942,07Jul2026,24082.0,0.0,0.0,116805,0,7800,0,6.68,0.0,0.0,1268.0,OTM CE / ITM PE,0.0,1268.0,1.25,107.95
25400,1.05,1330550,6323980,-0.85,-44.74,1365.0,1885,195,-25.0,-1.8,24.77,24.77,0.0455,0.000127,-6.2,-3.57,2.9071,-0.9545,0.000127,-6.2,-1.24,2.9071,07Jul2026,24082.0,0.0,0.0,865865,0,464685,1885,53.67,0.0,0.0,1318.0,OTM CE / ITM PE,0.0,1318.0,1.05,47.0
25450,1.0,432510,2427360,-0.8,-44.44,1400.0,65,65,150.0,12.0,23.89,23.89,0.0345,0.000105,-4.77,-2.73,2.321,-0.9655,0.000105,-4.77,-0.39,2.321,07Jul2026,24082.0,0.0,0.0,446615,0,-14105,65,-3.16,0.0,-0.0,1368.0,OTM CE / ITM PE,0.0,1368.0,1.0,32.0
