Time,Symbol,Token,LTP,VOL,OI
20:35:24,NIFTY2661623800PE,50608,223.95,65,849615
20:35:24,NIFTY2661623850CE,50609,61.60,65,1732445
20:35:24,NIFTY2661623700PE,50604,163.45,520,1647035
20:35:24,NIFTY2661623750PE,50606,191.90,130,278785
20:35:24,NIFTY2661623800CE,50607,76.85,130,6348485
20:35:24,NIFTY2661623250CE,50568,429.80,65,652600
20:35:24,NIFTY2661623650CE,50601,140.65,130,2099240
20:35:24,NIFTY2661623750CE,50605,95.15,65,1884935
20:35:24,NIFTY2661623250PE,50569,29.35,65,3064750
20:35:24,NIFTY2661623650PE,50602,137.05,65,1616355
20:35:24,NIFTY2661623700CE,50603,115.90,65,4118465
20:35:24,NIFTY2661623150CE,50563,519.35,260,452660
20:35:24,NIFTY2661623500CE,50585,228.90,130,4732845
20:35:24,NIFTY2661623150PE,50564,20.60,65,4654585
20:35:24,NIFTY2661623500PE,50586,78.85,195,8489390
20:35:24,NIFTY2661623200CE,50565,475.70,65,2100800
20:35:24,NIFTY2661624100PE,50620,465.30,65,60840
20:35:24,NIFTY2661623200PE,50566,24.45,65,7873775
20:35:24,NIFTY2661623100CE,50561,566.60,65,585260
20:35:24,NIFTY2661623100PE,50562,17.30,130,6033495
20:35:24,NIFTY2661624100CE,50619,19.85,130,3175640
20:35:24,NIFTY2661624000CE,50615,31.45,65,10501595
20:35:24,NIFTY2661624000PE,50616,376.75,65,760045
20:35:24,NIFTY2661624050CE,50617,24.90,130,1783470
20:35:24,NIFTY2661624050PE,50618,417.50,65,23855
20:35:24,NIFTY2661623900CE,50611,49.00,65,4017455
20:35:24,NIFTY2661623950CE,50613,39.15,65,1562860
20:35:24,NIFTY2661623950PE,50614,334.70,65,57460
20:35:24,NIFTY2661623400CE,50574,302.70,65,3419975
20:35:24,NIFTY2661623400PE,50575,52.35,65,9325680
20:35:24,NIFTY2661623450CE,50576,263.45,65,1382160
20:35:24,NIFTY2661623900PE,50612,296.60,130,330980
20:35:24,NIFTY2661623450PE,50577,64.00,65,4522115
20:35:24,NIFTY2661623850PE,50610,257.70,130,114595
20:35:24,NIFTY2661623300CE,50570,384.45,65,2632565
20:35:24,NIFTY2661623550PE,50592,96.50,65,2251080
20:35:24,NIFTY2661623300PE,50571,35.60,130,8855730
20:35:24,NIFTY2661623600CE,50593,166.50,65,3922880
20:35:24,NIFTY2661623350CE,50572,341.30,65,1006655
20:35:24,NIFTY2661623600PE,50594,116.05,65,4635800
20:35:24,NIFTY2661623350PE,50573,43.40,65,4477265
20:35:24,NIFTY2661623550CE,50591,196.40,65,1671150
